me,mypoint,mypower,mypaper,enpoint,enpower,paper,c1,c2,c3,c4,c5,l1,l2,l3,l4,l5,win
홀샤바펌퓨,2123,687060,11,2123,648684,12,홀,,바,,퓨,1,,3,,2,1
홀샤바펌퓨,2130,687060,11,2130,710686,6,,,바,펌,퓨,,,3,5,3,1
홀샤바펌퓨,2140,687060,11,2130,575445,11,홀,,펌,목,,1,,4,3,,0
홀샤바펌퓨,2143,687060,11,2143,723616,11,홀,샤,바,,,2,5,2,,,0
홀샤바펌퓨,2137,687060,11,2141,685946,10,홀,샤,바,,,2,5,3,,,1
홀샤바펌퓨,2147,687060,11,2140,648548,6,딸,바,펌,즐,퓨,5,2,4,3,2,1
홀샤바펌퓨,2157,687060,11,2108,590763,10,홀,바,,,퓨,1,3,,,2,1
홀샤바펌퓨,2157,687060,11,2090,739033,9,홀,바,펌,,,1,1,3,,,1
홀샤바펌퓨,2167,687065,11,2155,693497,8,홀,,바,,퓨,0,,3,,2,0
홀샤바펌퓨,2173,687065,11,2169,663255,11,,서,펌,목,,,0,4,3,,0
홀샤바펌퓨,2157,687065,11,2154,648554,6,딸,바,펌,즐,퓨,5,2,4,3,2,1
홀샤바펌퓨,2161,687065,11,2193,718951,10,,바,블,,퓨,,3,5,,3,0
홀샤바펌퓨,2170,687065,11,2038,593444,10,홀,바,,,퓨,2,2,,,3,0
홀샤바펌퓨,2165,687065,11,1947,725838,9,,샤,바,,퓨,,4,2,,3,1
홀샤바펌퓨,2133,687060,11,2133,805221,6,홀,바,,,퓨,1,3,,,2,1
홀샤바펌퓨,2157,687065,11,2160,682813,10,홀,샤,바,,퓨,1,4,3,,2,1
홀샤바펌퓨,2167,687065,11,2315,635950,10,딸,바,,,퓨,4,3,,,2,0
홀바펌목퓨,2163,589336,11,2160,613507,10,홀,바,,목,,1,2,,2,,0
홀샤바펌퓨,2156,687065,11,2156,658251,12,홀,바,,목,,1,3,,4,,0
홀샤바펌퓨,2150,687065,11,2156,721192,7,마,,펌,즐,,4,,4,4,,1
홀샤바펌퓨,2160,687065,11,2160,689811,9,홀,,바,펌,,2,,3,5,,1
홀바펌목퓨,2170,589336,11,2160,583116,11,,바,,목,퓨,,3,,2,2,1
